DC_ID,COMPONENT_1,COMPONENT_2,EFFICACY,EFFECT_TYPE,DISEASE,ICD10_S
DC000002,gentamicin,prednisolone,Efficacious,,Treating bacterial infections of the eyes.,"A49.9 Bacterial infection, unspecified"
DC007224,chloramphenicol,prednisolone,Efficacious,,Bacterial infections of the eyes,"A49.9 Bacterial infection, unspecified"
DC000111,lidocaine,prilocaine,Efficacious,,"Used to numb the skin, or surfaces of the penis or vagina, in preparation for a medical procedure or to lessen the pain of inserting a medical instrument such as a tube or speculum.",
DC000017,epinephrine,prilocaine,Efficacious,,For local anesthetic.,
DC000215,codeine,promethazine,Efficacious,,"Used to relieve symptoms associated with a cold, allergies or respiratory tract illness.","J06.9 Acute upper respiratory infection, unspecified"
DC000025,methotrexate,rabeprazole,Non-efficacious,,Malignant diseases,
DC000043,hydrochlorothiazide,spironolactone,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000292,amlodipine,telmisartan,Efficacious,,Hypertension,I10 Essential (primary) hypertension
DC000428,diclofenac,tetracycline,Need further study,,Bacterial Infections,"A49.9 Bacterial infection, unspecified"
DC000429,naproxen,tetracycline,Need further study,,Bacterial Infections,"A49.9 Bacterial infection, unspecified"
DC000201,clindamycin,tretinoin,Efficacious,,Svere nodular acne,L70.0 Acne vulgaris
DC000045,hydrochlorothiazide,triamterene,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000047,trandolapril,verapamil,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC003959,celecoxib,chenodeoxycholic acid,Need further study,Unclear,Familial Adenomatous Polyposis,"D12.6 Benign neoplasm of colon, unspecified"
DC001041,amiloride,chlorthalidone,Efficacious,Unclear,Hypertension,I10 Essential (primary) hypertension
DC001536,capecitabine,cyclophosphamide,Efficacious,Unclear,Breast Cancer,C50 Malignant neoplasms of breast
DC006509,dasatinib,docetaxel,Need further study,Unclear,Metastatic Prostate Cancer,C61 Malignant neoplasm of prostate
DC002520,docetaxel,doxorubicin,Efficacious,Unclear,Breast Cancer,C50 Malignant neoplasms of breast
DC004362,carvedilol,enalapril,Efficacious,Unclear,Acute Myeloid Leukemia,C92.00 Acute myeloid leukemia
DC002701,docetaxel,erlotinib,Efficacious,Unclear,"Carcinoma, Non-Small-Cell Lung",C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung
DC001974,clomipramine,fluoxetine,Efficacious,Unclear,Obsessive Compulsive Disorder,F42 Obsessive-compulsive disorder
DC003110,citalopram,fluoxetine,Non-efficacious,Unclear,Depression,"F32.9 Major depressive disorder, single episode, unspecified"
DC001975,docetaxel,gefitinib,Efficacious,Unclear,Non-Small Cell Lung Cancer,C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung
DC007060,docetaxel,gemcitabine,Efficacious,Unclear,Metastatic Breast Cancer,C50 Malignant neoplasm of breast
DC005184,amlodipine,hydrochlorothiazide,Efficacious,Unclear,Hypertension,I10 Essential (primary) hypertension
DC004318,bupivacaine,hydromorphone,Non-efficacious,Unclear,Postoperative Ileus,K56.5 Intestinal adhesions [bands] with obstruction
DC001932,felodipine,irbesartan,Efficacious,Unclear,Hypertension,I10 Essential (primary) hypertension
DC003351,captopril,irbesartan,Efficacious,Unclear,Type 2 Diabetes Mellitus,E11  Type 2 diabetes mellitus
DC007020,amlodipine,irbesartan,Efficacious,Unclear,Hypertension,I10 Essential (primary) hypertension
DC000522,capecitabine,irinotecan,Non-efficacious,Unclear,Advanced Colorectal Cancer,"C18.9 Malignant neoplasm of colon, unspecified"
DC005603,bosutinib,lansoprazole,Non-efficacious,Unclear,Healthy Volunteers,"C92.1 Chronic myeloid leukemia, BCR/ABL-positive"
DC001030,fluorouracil,leucovorin,Efficacious,Unclear,Pancreatic Cancer,C25 Malignant neoplasm of pancreas
DC005294,atenolol,losartan,Efficacious,Unclear,Marfan Syndrome,Q87.4 Marfan's syndrome
DC005396,amlodipine,losartan,Efficacious,Unclear,Hypertension,I10 Essential (primary) hypertension
DC004575,lisinopril,losartan,Non-efficacious,Unclear,Kidney Diseases,E11.2 Type 2 diabetes mellitus with kidney complications
DC003038,fentanyl,mepivacaine,Efficacious,Unclear,Knee Arthroscopy,
DC002516,felodipine,metoprolol,Efficacious,Unclear,Hypertension,I10 Essential (primary) hypertension
DC004658,acetaminophen,morphine,Efficacious,Unclear,Urolithiasis,N20-N23 Urolithiasis
DC006475,buprenorphine,naltrexone,Efficacious,Unclear,Prescription Opioid Dependence,F11.2 Opioid dependence
DC006019,losartan,nebivolol,Need further study,Unclear,Marfan Syndrome,Q87.4 Marfan's syndrome
DC004659,carbamazepine,nevirapine,Efficacious,Unclear,HIV Infections,B20  Human immunodeficiency virus [HIV] disease
